N=200,,
标准差,均值,SP
0.00692544,0.999,
0.0572,0.9898,
0.2065,0.9313,
0.4074,0.564,
0.2072,0.18775,
0,0,
0,0,
0,0,
,,
0.00332544,0.997892,FIX
0.0432,0.96662974,
0.1845,0.912362,
0.39874,0.432,
0,0,
0,0,
0,0,
0,0,
,,
0,1,
0,1,SORN
0.0045,1,
0.0102,0.997084,
0.0752,0.9786,
0.2775,0.820624,
0.4003,0.687991,
0.4498,0.547045,
,,
N=400,,
标准差,均值,SP
0,1,
0.00732,0.9998,
0.1265,0.9613,
0.3474,0.8464,
0.4272,0.71535,
0.52,0.5203,
0.14,0.1142,
0.1,0,
,,
0,0.9992,FIX
0.008232,0.99662974,
0.09245,0.972362,
0.3204,0.812,
0.3988,0.667,
0.4908,0.4465,
0.089,0,
0,0,
,,
0,1,SORN
0,1,
0,1,
0,1,
0.0452,1,
0.181,0.9920624,
0.2403,0.987991,
0.03898,0.977045,
